BarLogIndex,LogDetails
38,DEBUG: Checking immediate CDS confirmation for newly set PDS 37; DEBUG: Confirmed CUS at Bar 28; DEBUG: New CONFIRMED CONTAINMENT established by CUS 28 (L:5651.25) and prior CDS 36 (H:5825.5). Active: True; Pending Downtrend Start on Bar 28 (2025-03-21 10:00:00+00:00); Signal for Pending Downtrend Start on Bar 37 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 28 (2025-03-21 10:00:00+00:00) (Post-CUS of 28 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 37 (2025-03-24 22:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 28 (2025-03-21 10:00:00+00:00) (Rule: LOWER_OHLC)
39,DEBUG: Confirmed CDS at Bar 37; DEBUG: New CONFIRMED CONTAINMENT established by CDS 37 (H:5816.25) and prior CUS 28 (L:5651.25). Active: True; 📉 Confirmed Downtrend Start from Bar 37 (2025-03-24 22:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
40,⏳U Pending Uptrend Start on Bar 39 (2025-03-25 06:00:00+00:00) (general PUS rule on prev_bar)
41,Pending Downtrend Start on Bar 41 (2025-03-25 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 41 (2025-03-25 14:00:00+00:00) (by Rule C: HH & Down Close)
42,DEBUG: Confirmed CUS at Bar 39; DEBUG: New CONFIRMED CONTAINMENT established by CUS 39 (L:5801.5) and prior CDS 37 (H:5816.25). Active: True; Info: prev_bar 41 (H:5837.25) not set as PDS. Existing PDS is 41 (H:5837.25). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 39 (2025-03-25 06:00:00+00:00) (Rule: LowUndercutHighRespect)
43,"DEBUG: Confirmed CDS at Bar 41; DEBUG: New CONFIRMED CONTAINMENT established by CDS 41 (H:5837.25) and prior CUS 39 (L:5801.5). Active: True; Pending Downtrend Start on Bar 43 (2025-03-25 22:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 43 (2025-03-25 22:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 41 (2025-03-25 14:00:00+00:00) (Rule: F); 🧱 Containment START: Bar 43 inside Bar 41 (PENDING_DOWNTREND_HIGH H:5837.25, L:5812.0)."
44,"Info: prev_bar 43 (H:5836.5) not set as PDS. Existing PDS is 43 (H:5836.5). prev_bar.h is not > existing PDS.H.; 🧱 Containment: Bar 44 inside Bar 41 (PENDING_DOWNTREND_HIGH H:5837.25, L:5812.0) for 2 bars."
45,"Info: prev_bar 44 (H:5831.5) not set as PDS. Existing PDS is 43 (H:5836.5). prev_bar.h is not > existing PDS.H.; 🧱 Containment: Bar 45 inside Bar 41 (PENDING_DOWNTREND_HIGH H:5837.25, L:5812.0) for 3 bars."
46,Containment ENDED: Bar 46 💨 BREAKDOWN below Bar 41 range (was 3 bar(s) inside).; DEBUG: Confirmed CDS at Bar 43; DEBUG: New CONFIRMED CONTAINMENT established by CDS 43 (H:5836.5) and prior CUS 39 (L:5801.5). Active: True; Pending Downtrend Start on Bar 46 (2025-03-26 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 46 (2025-03-26 10:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 43 (2025-03-25 22:00:00+00:00) (Rule: F)
47,Info: prev_bar 46 (H:5834.5) not set as PDS. Existing PDS is 46 (H:5834.5). prev_bar.h is not > existing PDS.H.
48,Info: prev_bar 47 (H:5817.5) not set as PDS. Existing PDS is 46 (H:5834.5). prev_bar.h is not > existing PDS.H.
49,Info: prev_bar 48 (H:5767.5) not set as PDS. Existing PDS is 46 (H:5834.5). prev_bar.h is not > existing PDS.H.
50,DEBUG: Confirmed CDS at Bar 46; DEBUG: New CONFIRMED CONTAINMENT established by CDS 46 (H:5834.5) and prior CUS 39 (L:5801.5). Active: True; ⏳U Pending Uptrend Start on Bar 49 (2025-03-26 22:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 46 (2025-03-26 10:00:00+00:00) (Rule: A)
51,➖ Neutral
52,DEBUG: Checking immediate CDS confirmation for newly set PDS 51; DEBUG: Confirmed CDS at Bar 51; DEBUG: Confirmed CUS at Bar 49; DEBUG: Immediate CDS confirmation triggered for PDS 51; DEBUG: New CONFIRMED CONTAINMENT established by CDS 51 (H:5773.0) and prior CUS 49 (L:5730.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 49 (L:5730.5) and prior CDS 46 (H:5834.5). Active: True; Pending Downtrend Start on Bar 49 (2025-03-26 22:00:00+00:00); Signal for Pending Downtrend Start on Bar 51 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 49 (2025-03-26 22:00:00+00:00) (Post-CUS of 49 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 51 (2025-03-27 06:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 49 (2025-03-26 22:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 51 (2025-03-27 06:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
53,Pending Downtrend Start on Bar 53 (2025-03-27 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 53 (2025-03-27 14:00:00+00:00) (by Rule C: HH & Down Close)
54,"Info: prev_bar 53 (H:5779.75) not set as PDS. Existing PDS is 53 (H:5779.75). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 53 (2025-03-27 14:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 54 inside Bar 53 (PENDING_DOWNTREND_HIGH H:5779.75, L:5733.75)."
55,Containment ENDED: Bar 55 moves outside Bar 53 range (was 1 bar(s) inside).; Info: prev_bar 54 (H:5771.25) not set as PDS. Existing PDS is 53 (H:5779.75). prev_bar.h is not > existing PDS.H.
56,"DEBUG: Confirmed CDS at Bar 53; DEBUG: New CONFIRMED CONTAINMENT established by CDS 53 (H:5779.75) and prior CUS 49 (L:5730.5). Active: True; ⏳U Pending Uptrend Start on Bar 55 (2025-03-27 22:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 53 (2025-03-27 14:00:00+00:00) (Rule: G); 🧱 Containment START: Bar 56 inside Bar 53 (PENDING_DOWNTREND_HIGH H:5779.75, L:5733.75)."
57,Containment ENDED: Bar 57 💨 BREAKDOWN below Bar 53 range (was 1 bar(s) inside).; DEBUG: Confirmed CUS at Bar 55; DEBUG: New CONFIRMED CONTAINMENT established by CUS 55 (L:5728.25) and prior CDS 53 (H:5779.75). Active: True; Pending Downtrend Start on Bar 57 (2025-03-28 06:00:00+00:00); Pending Downtrend Start on Bar 57 (2025-03-28 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 57 (2025-03-28 06:00:00+00:00) (Post-CUS of 55 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 55 (2025-03-27 22:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
58,Info: prev_bar 57 (H:5748.0) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
59,Info: prev_bar 58 (H:5739.75) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
60,Info: prev_bar 59 (H:5711.25) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
61,Info: prev_bar 60 (H:5636.5) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
62,Info: prev_bar 61 (H:5600.0) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 61 (2025-03-30 22:00:00+00:00) (general PUS rule on prev_bar)
63,Info: prev_bar 62 (H:5591.75) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
64,Info: prev_bar 63 (H:5591.75) not set as PDS. Existing PDS is 57 (H:5748.0). prev_bar.h is not > existing PDS.H.
65,DEBUG: Confirmed CDS at Bar 57; DEBUG: Confirmed CUS at Bar 61; DEBUG: New CONFIRMED CONTAINMENT established by CDS 57 (H:5748.0) and prior CUS 61 (L:5573.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 61 (L:5573.5) and prior CDS 53 (H:5779.75). Active: True; ⏳U Pending Uptrend Start on Bar 64 (2025-03-31 10:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 61 (2025-03-30 22:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 57 (2025-03-28 06:00:00+00:00) (Rule: A)
66,➖ Neutral
67,DEBUG: Checking immediate CDS confirmation for newly set PDS 66; DEBUG: Confirmed CDS at Bar 66; DEBUG: Immediate CDS confirmation triggered for PDS 66; DEBUG: New CONFIRMED CONTAINMENT established by CDS 66 (H:5672.5) and prior CUS 61 (L:5573.5). Active: True; Signal for Pending Downtrend Start on Bar 66 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 66 (2025-03-31 18:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 66 (2025-03-31 18:00:00+00:00) (Rule: G)
68,DEBUG: Checking immediate CDS confirmation for newly set PDS 67; Signal for Pending Downtrend Start on Bar 67 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 67 (2025-03-31 22:00:00+00:00) (general PDS rule on prev_bar)
69,DEBUG: Confirmed CDS at Bar 67; DEBUG: Confirmed CUS at Bar 64; DEBUG: New CONFIRMED CONTAINMENT established by CDS 67 (H:5645.75) and prior CUS 64 (L:5533.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 64 (L:5533.75) and prior CDS 66 (H:5672.5). Active: True; ⏳U Pending Uptrend Start on Bar 68 (2025-04-01 02:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 64 (2025-03-31 10:00:00+00:00) (Rule: HighBreakoutAfterPUSAndInterveningPDS); 📉 Confirmed Downtrend Start from Bar 67 (2025-03-31 22:00:00+00:00) (Rule: HighBreakoutAbovePDS)
70,DEBUG: Checking immediate CDS confirmation for newly set PDS 69; DEBUG: Confirmed CDS at Bar 69; DEBUG: Confirmed CUS at Bar 68; DEBUG: Immediate CDS confirmation triggered for PDS 69; DEBUG: New CONFIRMED CONTAINMENT established by CDS 69 (H:5663.5) and prior CUS 68 (L:5628.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 68 (L:5628.0) and prior CDS 67 (H:5645.75). Active: True; Pending Downtrend Start on Bar 68 (2025-04-01 02:00:00+00:00); Signal for Pending Downtrend Start on Bar 69 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 68 (2025-04-01 02:00:00+00:00) (Post-CUS of 68 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 69 (2025-04-01 06:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 68 (2025-04-01 02:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 69 (2025-04-01 06:00:00+00:00) (Rule: G)
71,➖ Neutral
72,DEBUG: Checking immediate CDS confirmation for newly set PDS 71; DEBUG: Confirmed CDS at Bar 71; DEBUG: Immediate CDS confirmation triggered for PDS 71; DEBUG: New CONFIRMED CONTAINMENT established by CDS 71 (H:5694.75) and prior CUS 68 (L:5628.0). Active: True; Signal for Pending Downtrend Start on Bar 71 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 71 (2025-04-01 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 71 (2025-04-01 14:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
73,Pending Downtrend Start on Bar 73 (2025-04-01 22:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 73 (2025-04-01 22:00:00+00:00) (by Rule C: HH & Down Close)
74,Info: prev_bar 73 (H:5694.75) not set as PDS. Existing PDS is 73 (H:5694.75). prev_bar.h is not > existing PDS.H.
75,DEBUG: Confirmed CDS at Bar 73; DEBUG: New CONFIRMED CONTAINMENT established by CDS 73 (H:5694.75) and prior CUS 68 (L:5628.0). Active: True; Pending Downtrend Start on Bar 75 (2025-04-02 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 75 (2025-04-02 06:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 73 (2025-04-01 22:00:00+00:00) (Rule: F)
76,Info: prev_bar 75 (H:5672.25) not set as PDS. Existing PDS is 75 (H:5672.25). prev_bar.h is not > existing PDS.H.
77,DEBUG: Confirmed CDS at Bar 75; DEBUG: New CONFIRMED CONTAINMENT established by CDS 75 (H:5672.25) and prior CUS 68 (L:5628.0). Active: True; ⏳U Pending Uptrend Start on Bar 76 (2025-04-02 10:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 75 (2025-04-02 06:00:00+00:00) (Rule: A)
78,DEBUG: Confirmed CUS at Bar 76; DEBUG: New CONFIRMED CONTAINMENT established by CUS 76 (L:5610.75) and prior CDS 75 (H:5672.25). Active: True; Pending Downtrend Start on Bar 78 (2025-04-02 18:00:00+00:00); Pending Downtrend Start on Bar 78 (2025-04-02 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 78 (2025-04-02 18:00:00+00:00) (Post-CUS of 76 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 76 (2025-04-02 10:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
79,Info: prev_bar 78 (H:5776.25) not set as PDS. Existing PDS is 78 (H:5776.25). prev_bar.h is not > existing PDS.H.
80,DEBUG: Confirmed CDS at Bar 78; DEBUG: New CONFIRMED CONTAINMENT established by CDS 78 (H:5776.25) and prior CUS 76 (L:5610.75). Active: True; Pending Downtrend Start on Bar 80 (2025-04-03 02:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 80 (2025-04-03 02:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 78 (2025-04-02 18:00:00+00:00) (Rule: F)
81,Info: prev_bar 80 (H:5565.0) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
82,Info: prev_bar 81 (H:5557.5) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
83,Info: prev_bar 82 (H:5540.25) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
84,Info: prev_bar 83 (H:5524.5) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
85,Info: prev_bar 84 (H:5485.5) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
86,Info: prev_bar 85 (H:5435.0) not set as PDS. Existing PDS is 80 (H:5565.0). prev_bar.h is not > existing PDS.H.
87,DEBUG: Confirmed CDS at Bar 80; DEBUG: New CONFIRMED CONTAINMENT established by CDS 80 (H:5565.0) and prior CUS 76 (L:5610.75). Active: True; Pending Downtrend Start on Bar 87 (2025-04-04 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 87 (2025-04-04 06:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 80 (2025-04-03 02:00:00+00:00) (Rule: F)
88,Info: prev_bar 87 (H:5428.75) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.
89,Info: prev_bar 88 (H:5395.5) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.
90,Info: prev_bar 89 (H:5288.0) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.
91,Info: prev_bar 90 (H:5212.25) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.
92,Info: prev_bar 91 (H:5008.0) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 91 (2025-04-06 22:00:00+00:00) (general PUS rule on prev_bar)
93,DEBUG: Confirmed CUS at Bar 91; DEBUG: New CONFIRMED CONTAINMENT established by CUS 91 (L:4832.5) and prior CDS 80 (H:5565.0). Active: True; Info: prev_bar 92 (H:4993.0) not set as PDS. Existing PDS is 87 (H:5428.75). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 91 (2025-04-06 22:00:00+00:00) (Rule: LowUndercutHighRespect)
94,DEBUG: Confirmed CDS at Bar 87; DEBUG: New CONFIRMED CONTAINMENT established by CDS 87 (H:5428.75) and prior CUS 91 (L:4832.5). Active: True; ⏳U Pending Uptrend Start on Bar 93 (2025-04-07 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 87 (2025-04-04 06:00:00+00:00) (Rule: A)
95,➖ Neutral
96,DEBUG: Checking immediate CDS confirmation for newly set PDS 95; DEBUG: Confirmed CDS at Bar 95; DEBUG: Immediate CDS confirmation triggered for PDS 95; DEBUG: New CONFIRMED CONTAINMENT established by CDS 95 (H:5285.75) and prior CUS 91 (L:4832.5). Active: True; Signal for Pending Downtrend Start on Bar 95 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 95 (2025-04-07 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 95 (2025-04-07 14:00:00+00:00) (Rule: G)
97,➖ Neutral
